COHERENCE PROTOCOL: MSI
3, 113428, 5790, 12108, 39, 4.64, 157, 0, 6661, 64, 2020, 89, 714
COHERENCE PROTOCOL: MSI
0, 112661, 5741, 11942, 39, 4.64, 120, 0, 6577, 71, 2014, 116, 716
1, 110830, 5772, 11710, 41, 4.74, 101, 0, 6573, 48, 2034, 93, 700
2, 114938, 5741, 12383, 42, 4.54, 130, 0, 6596, 83, 2008, 122, 725
3, 113428, 5780, 12108, 39, 4.64, 98, 0, 6592, 64, 2020, 89, 714
COHERENCE PROTOCOL: MESI
0, 112661, 5768, 11942, 39, 4.66, 239, 4402, 1644, 1465, 2014, 114, 39
1, 110830, 5797, 11710, 41, 4.76, 211, 4434, 1615, 1431, 2034, 92, 41
2, 114938, 5762, 12383, 42, 4.56, 239, 4401, 1642, 1465, 2008, 120, 42
3, 113428, 5803, 12108, 39, 4.65, 224, 4401, 1665, 1480, 2020, 88, 39
COHERENCE PROTOCOL: MESI
0, 112661, 5752, 11942, 39, 4.65, 170, 4389, 1572, 1464, 2014, 116, 39
1, 110830, 5781, 11710, 41, 4.75, 155, 4422, 1555, 1428, 2034, 93, 41
2, 114938, 5752, 12383, 42, 4.55, 186, 4393, 1587, 1464, 2008, 121, 42
3, 113428, 5790, 12108, 39, 4.64, 157, 4395, 1591, 1474, 2020, 89, 39
COHERENCE PROTOCOL: MESI
0, 112661, 5741, 11942, 39, 4.64, 120, 4379, 1521, 1463, 2014, 116, 39
1, 110830, 5772, 11710, 41, 4.74, 101, 4415, 1499, 1426, 2034, 93, 41
2, 114938, 5741, 12383, 42, 4.54, 130, 4386, 1527, 1461, 2008, 122, 42
3, 113428, 5780, 12108, 39, 4.64, 98, 4386, 1531, 1473, 2020, 89, 39
COHERENCE PROTOCOL: Dragon
0, 112661, 5609, 11942, 3, 4.50, 148, 0, 5760, 1400, 0, 3, 0
1, 110830, 5619, 11710, 2, 4.59, 149, 0, 5770, 1392, 0, 9, 0
2, 114938, 5619, 12383, 2, 4.41, 142, 0, 5763, 1388, 0, 6, 0
3, 113428, 5626, 12108, 0, 4.48, 158, 0, 5784, 1424, 0, 6, 0
COHERENCE PROTOCOL: Dragon
0, 112661, 5595, 11942, 3, 4.49, 107, 0, 5705, 1398, 0, 3, 0
1, 110830, 5604, 11710, 2, 4.57, 110, 0, 5716, 1387, 0, 9, 0
2, 114938, 5604, 12383, 2, 4.40, 105, 0, 5711, 1387, 0, 6, 0
3, 113428, 5611, 12108, 0, 4.47, 123, 0, 5734, 1417, 0, 6, 0
COHERENCE PROTOCOL: Dragon
0, 112661, 5576, 11942, 3, 4.48, 47, 0, 5626, 1395, 0, 3, 0
1, 110830, 5586, 11710, 2, 4.56, 43, 0, 5631, 1382, 0, 9, 0
2, 114938, 5586, 12383, 2, 4.39, 62, 0, 5650, 1383, 0, 6, 0
3, 113428, 5593, 12108, 0, 4.46, 57, 0, 5650, 1411, 0, 6, 0

COHERENCE PROTOCOL: Dragon
0, 112661, 5595, 11942, 3, 4.49, 107, 0, 5705, 1398, 0, 3, 0
1, 110830, 5604, 11710, 2, 4.57, 110, 0, 5716, 1387, 0, 9, 0
2, 114938, 5604, 12383, 2, 4.40, 105, 0, 5711, 1387, 0, 6, 0
3, 113428, 5611, 12108, 0, 4.47, 123, 0, 5734, 1417, 0, 6, 0
COHERENCE PROTOCOL: Dragon
0, 112661, 5069, 11942, 3, 4.07, 145, 0, 5217, 1256, 0, 3, 0
1, 110830, 5080, 11710, 1, 4.15, 149, 0, 5230, 1266, 0, 9, 0
2, 114938, 5080, 12383, 2, 3.99, 145, 0, 5227, 1257, 0, 6, 0
3, 113428, 5086, 12108, 0, 4.05, 160, 0, 5246, 1287, 0, 9, 0
COHERENCE PROTOCOL: Dragon
0, 112661, 4628, 11942, 3, 3.72, 198, 0, 4829, 1125, 0, 3, 0
1, 110830, 4633, 11710, 1, 3.78, 200, 0, 4834, 1175, 0, 11, 0
2, 114938, 4630, 12383, 2, 3.64, 185, 0, 4817, 1143, 0, 9, 0
